Step;Number of cars that battery ran out;Satisfied clients;Unsatisfied clients;Learned battery threshold;Mean waiting time for clients
0;0;0;0;40;0,00
100;4;17;1;38;9,21
200;8;16;2;38;9,41
300;8;21;2;36;8,07
400;9;15;3;36;8,17
500;5;17;1;36;8,55
600;7;17;4;36;8,34
700;8;18;3;36;8,22
800;12;15;1;36;8,74
900;8;14;5;35;8,68
1000;7;18;3;35;8,63
1100;9;16;1;35;8,84
1200;9;15;2;35;8,97
1300;8;19;0;35;9,03
1400;11;17;3;34;9,06
1500;10;15;1;34;9,38
1600;8;18;1;34;9,33
1700;7;19;2;34;9,24
1800;8;19;3;34;9,10
1900;9;15;2;34;9,31
2000;10;22;3;34;9,09
2100;9;18;1;34;9,04
2200;6;19;1;34;8,96
2300;10;18;2;34;8,92
2400;10;18;2;34;8,91
2500;8;18;0;34;9,03
2600;10;17;3;34;9,03
2700;5;23;1;34;8,92
2800;8;16;4;34;8,87
2900;8;15;2;34;8,98
3000;9;16;3;34;9,00
3100;7;15;2;34;9,01
3200;5;18;2;34;8,94
3300;12;18;3;34;8,93
3400;8;19;1;34;8,93
3500;11;16;3;34;8,95
3600;9;16;0;34;9,06
3700;8;20;0;34;9,05
3800;8;20;2;33;8,96
3900;9;16;3;33;8,94
4000;9;16;3;33;8,96
4100;9;20;1;33;8,94
4200;11;14;4;33;8,91
4300;9;19;3;33;8,92
4400;7;13;3;33;8,94
4500;6;21;3;33;8,90
4600;6;21;2;33;8,87
4700;9;21;3;33;8,81
4800;7;19;0;33;8,81
4900;10;18;0;33;8,83
5000;7;20;0;33;8,81
5100;11;17;3;33;8,81
5200;10;18;2;33;8,77
5300;7;19;2;33;8,80
5400;8;17;3;33;8,79
5500;8;21;0;33;8,78
5600;10;19;2;33;8,78
5700;7;16;2;33;8,77
5800;8;20;2;33;8,73
5900;8;20;1;33;8,68
6000;7;19;2;33;8,68
6100;9;18;0;33;8,70
6200;7;18;3;33;8,67
6300;9;17;4;33;8,63
6400;8;20;2;33;8,59
6500;8;17;6;33;8,58
6600;8;18;2;33;8,54
6700;6;20;1;33;8,53
6800;8;20;2;33;8,51
6900;7;16;2;33;8,49
7000;7;21;1;33;8,50
7100;7;18;4;33;8,49
7200;10;15;3;33;8,50
7300;7;21;1;33;8,48
7400;9;22;2;33;8,46
7500;7;18;1;33;8,46
7600;6;15;2;33;8,49
7700;6;24;0;31;8,46
7800;6;18;3;31;8,45
7900;8;17;3;31;8,45
8000;11;14;2;31;8,51
8100;8;19;2;31;8,49
8200;4;21;1;30;8,44
8300;10;16;1;30;8,44
8400;11;17;4;30;8,45
8500;7;16;2;30;8,47
8600;10;19;3;30;8,45
8700;9;19;2;29;8,45
8800;8;17;2;29;8,47
8900;8;17;2;29;8,45
9000;11;16;3;29;8,45
9100;10;20;1;29;8,44
9200;8;15;3;29;8,45
9300;8;20;3;29;8,44
9400;9;21;2;29;8,41
9500;9;19;4;29;8,38
9600;9;19;3;29;8,35
9700;8;15;4;29;8,35
9800;10;17;0;29;8,37
9900;8;20;1;29;8,37
10000;9;13;3;29;8,38
10100;8;21;1;29;8,36
10200;6;19;0;29;8,36
10300;8;17;2;29;8,35
10400;11;22;2;29;8,34
10500;11;16;2;29;8,35
10600;10;17;2;29;8,36
10700;9;14;2;29;8,40
10800;10;21;2;29;8,38
10900;12;11;6;29;8,40
11000;7;16;1;29;8,44
11100;7;19;4;29;8,41
11200;10;16;1;29;8,44
11300;9;21;3;29;8,42
11400;9;18;3;29;8,41
11500;10;16;3;29;8,41
11600;9;18;3;29;8,42
11700;10;16;4;29;8,42
11800;10;19;1;29;8,39
11900;10;21;2;29;8,38
12000;8;20;1;29;8,39
12100;8;18;1;29;8,39
12200;11;20;2;29;8,39
12300;6;18;0;29;8,39
12400;8;18;1;29;8,39
12500;6;21;2;29;8,38
12600;6;22;2;29;8,35
12700;8;11;3;29;8,37
12800;9;19;1;29;8,36
12900;11;17;3;29;8,37
13000;11;14;1;29;8,40
